"","Year","totSpawn","Catch"
"1",1951,66.142548,43.798
"2",1952,72.376098,45.885
"3",1953,111.273688,8.425
"4",1954,82.141146,65.767
"5",1955,69.854319,68.641
"6",1956,25.666991,72.062
"7",1957,24.464723,59.608
"8",1958,16.9114,20.628
"9",1959,47.864181,50.025
"10",1960,55.708955,68.037
"11",1961,44.325588,46.215
"12",1962,35.130822,65.303
"13",1963,35.117337,68.847
"14",1964,35.953714,76.881
"15",1965,38.389604,47.819
"16",1966,7.211083,33.338
"17",1967,9.647054,31.043
"18",1968,9.441912,1.893
"19",1969,14.038554,0.194
"20",1970,30.131784,0.244
"21",1971,38.921101,1.7
"22",1972,25.138622,8.811
"23",1973,16.191388,7.649
"24",1974,40.570525,4.017
"25",1975,70.207841,6.179
"26",1976,60.81667,12.237
"27",1977,75.988477,17.509
"28",1978,100.672615,24.002
"29",1979,62.596068,20.338
"30",1980,83.776632,5.818
"31",1981,52.364783,12.053
"32",1982,99.377909,12.833
"33",1983,66.201299,17.217
"34",1984,25.994261,11.035
"35",1985,25.023735,7.03
"36",1986,41.575266,0.594
"37",1987,41.736608,9.353
"38",1988,24.976259,8.215
"39",1989,66.051761,8.369
"40",1990,67.149657,8.119
"41",1991,45.628844,11.103
"42",1992,82.710191,13.696
"43",1993,90.19667,13.741
"44",1994,67.137744,17.738
"45",1995,64.898133,13.192
"46",1996,71.346194,14.112
"47",1997,58.295735,15.824
"48",1998,74.616313,13.604
"49",1999,85.093615,13.196
"50",2000,72.68836,15.204
"51",2001,100.247963,16.382
"52",2002,117.862117,18.613
"53",2003,152.150407,20.877
"54",2004,122.838931,13.601
"55",2005,102.651392,18.871
"56",2006,50.257978,18.762
"57",2007,38.523567,10.222
"58",2008,34.506893,9.999
"59",2009,53.652343,10.169
"60",2010,50.453681,8.323
"61",2011,85.000669,5.128
"62",2012,52.636369,11.339
"63",2013,83.693073,16.547
"64",2014,120.467537,20.31
"65",2015,104.481481,19.968
"66",2016,129.501618,21.31
"67",2017,81.063735,25.279
"68",2018,91.938518,19.067
"69",2019,63.037984,21.419
"70",2020,116.150581,10.439
"71",2021,70.938409,14.396
"72",2022,86.114336,4.672
"73",2023,74.506957,6.002
"74",2024,81.775,7
